N,area_wide,relerr_wide,area_narrow,relerr_narrow
100,0.63,0.332993,0.95,0.00580489
600,1.065,0.12756,0.947917,0.00359917
1100,1.03909,0.100129,0.956818,0.0130236
1600,0.9675,0.0243329,0.951563,0.00745917
2100,0.96,0.0163923,0.954167,0.0102163
2600,0.99,0.0481546,0.953365,0.00936796
3100,0.949355,0.00512183,0.952823,0.00879327
3600,0.96,0.0163923,0.952431,0.00837822
4100,0.941707,0.00297493,0.94939,0.00515931
4600,0.927391,0.0181319,0.94212,0.00253846
5100,0.942353,0.00229138,0.941667,0.00301796
5600,0.948214,0.00391427,0.940848,0.00388449
6100,0.938361,0.00651818,0.940369,0.00439201
6600,0.951818,0.00772987,0.943371,0.00121329
7100,0.953239,0.00923461,0.94507,0.000585735
7600,0.948553,0.0042725,0.946546,0.00214805
8100,0.957778,0.0140395,0.948765,0.0044978
8600,0.956512,0.012699,0.948837,0.00457379
9100,0.958352,0.0146471,0.948352,0.00405971
9600,0.94875,0.00448146,0.948828,0.00456417
10100,0.949901,0.00570006,0.947772,0.0034463
10600,0.950094,0.00590477,0.946108,0.00168478
11100,0.951892,0.00780791,0.946284,0.00187037
11600,0.951983,0.00790412,0.947414,0.00306676
12100,0.953554,0.00956736,0.946281,0.00186742
12600,0.945714,0.00126742,0.945734,0.00128843
13100,0.944656,0.000147486,0.944179,0.000357639
13600,0.938382,0.00649521,0.944853,0.000355478
14100,0.935106,0.00996361,0.94406,0.000483742
14600,0.938836,0.00601532,0.945034,0.000547434
15100,0.939338,0.00548369,0.945364,0.00089681
15600,0.938077,0.00681858,0.945513,0.00105412
16100,0.936894,0.00807055,0.945264,0.000790657
16600,0.94012,0.00465498,0.945331,0.000861964
17100,0.938947,0.005897,0.946345,0.00193521
17600,0.939886,0.00490285,0.946449,0.00204515
18100,0.940276,0.00449006,0.946961,0.00258771
18600,0.943548,0.00102571,0.947715,0.00338572
19100,0.937696,0.00722152,0.947971,0.00365691
19600,0.934439,0.0106704,0.948724,0.00445445
20100,0.938955,0.00588868,0.948756,0.00448804
20600,0.936262,0.00873997,0.948483,0.00419878
21100,0.934976,0.0101013,0.948104,0.00379779
21600,0.938333,0.0065471,0.947917,0.00359917
22100,0.939502,0.00530951,0.94802,0.00370896
22600,0.938628,0.00623479,0.948064,0.00375533
23100,0.937792,0.00712002,0.947944,0.00362782
23600,0.944237,0.00029634,0.947669,0.00333748
24100,0.945187,0.000708866,0.947977,0.00366324
24600,0.946829,0.0024479,0.948425,0.00413715
25100,0.950199,0.00601579,0.949203,0.00496127
25600,0.950273,0.00609439,0.948535,0.00425399
26100,0.953793,0.0098208,0.947893,0.00357382
26600,0.952782,0.00875026,0.947979,0.00366551
27100,0.951144,0.00701599,0.948386,0.00409566
27600,0.951196,0.00707077,0.947418,0.00307172
28100,0.949324,0.00508901,0.946886,0.00250809
28600,0.945315,0.000844346,0.946503,0.00210299
29100,0.946392,0.00198468,0.945962,0.0015299
29600,0.948345,0.00405224,0.94603,0.00160211
30100,0.948439,0.0041517,0.946304,0.00189176
30600,0.950882,0.00673907,0.94616,0.00173945
31100,0.951801,0.0077113,0.946141,0.00171971
31600,0.950981,0.00684352,0.945451,0.000988615
32100,0.951589,0.007487,0.945288,0.000816265
32600,0.95273,0.00869532,0.944977,0.000486818
33100,0.953021,0.0090035,0.945091,0.000607134
33600,0.955714,0.0118548,0.94494,0.000448155
34100,0.954897,0.0109899,0.944868,0.000371459
34600,0.956965,0.0131794,0.944978,0.000488226
35100,0.954359,0.0104199,0.944765,0.000262326
35600,0.95309,0.00907628,0.944347,0.000180278
36100,0.954848,0.0109373,0.943975,0.000573962
36600,0.956311,0.0124871,0.944262,0.000269864
37100,0.95628,0.0124541,0.944677,0.000168725
37600,0.958644,0.0149562,0.944781,0.000278872
38100,0.956457,0.0126409,0.945079,0.000594541
38600,0.954793,0.0108792,0.945693,0.00124489
39100,0.953171,0.00916253,0.945524,0.00106627
39600,0.953864,0.00989548,0.945139,0.000658223
40100,0.953192,0.00918441,0.945293,0.000821405
40600,0.951429,0.00731737,0.945259,0.000784988
41100,0.950365,0.00619129,0.945408,0.000942658
41600,0.949543,0.00532133,0.945643,0.00119198
42100,0.950238,0.00605637,0.945606,0.00115246
42600,0.948592,0.0043137,0.945775,0.00133133
43100,0.949698,0.00548554,0.946056,0.00162887
43600,0.948716,0.00444503,0.945929,0.00149464
44100,0.948163,0.00386026,0.945748,0.00130343
44600,0.950247,0.00606601,0.946328,0.00191769
45100,0.94929,0.00505367,0.945593,0.00113914
45600,0.947961,0.00364561,0.945998,0.0015676
46100,0.94705,0.00268148,0.945662,0.00121164
46600,0.947124,0.00276043,0.946191,0.00177212
47100,0.948535,0.00425386,0.946125,0.00170254
47600,0.949916,0.00571592,0.946245,0.00182904
48100,0.949771,0.00556276,0.945868,0.00143015
48600,0.952222,0.00815765,0.945962,0.00152962
49100,0.95444,0.0105056,0.945952,0.00151924
49600,0.954617,0.010693,0.945136,0.000655258
50100,0.955868,0.0120179,0.945359,0.000891562
50600,0.95834,0.0146347,0.945306,0.000835494
51100,0.957593,0.0138439,0.945181,0.000702827
51600,0.957907,0.0141763,0.945058,0.00057273
52100,0.957179,0.0134051,0.945178,0.000699148
52600,0.958517,0.0148223,0.945366,0.000898643
53100,0.960847,0.0172895,0.945433,0.000969764
53600,0.961119,0.0175775,0.945289,0.000817342
54100,0.959556,0.0159226,0.945194,0.000716662
54600,0.960824,0.0172649,0.945261,0.000787496
55100,0.960436,0.0168535,0.9451,0.000616858
55600,0.960863,0.0173063,0.944964,0.000473091
56100,0.958717,0.0150335,0.944742,0.000237526
56600,0.957721,0.0139793,0.944832,0.000333472
57100,0.958161,0.0144454,0.944899,0.00040456
57600,0.958594,0.0149034,0.944792,0.000290604
58100,0.958244,0.0145336,0.944901,0.000406395
58600,0.957901,0.01417,0.94503,0.000542793
59100,0.958782,0.0151025,0.945135,0.000654491
59600,0.957534,0.013781,0.945344,0.00087534
60100,0.955707,0.0118473,0.945279,0.000806249
60600,0.956139,0.0123041,0.9454,0.000934847
61100,0.954795,0.010882,0.945131,0.0006498
61600,0.953766,0.00979236,0.945069,0.000584222
62100,0.953913,0.00994779,0.945411,0.000945925
62600,0.955208,0.0113185,0.945308,0.000836747
63100,0.954057,0.0101003,0.945483,0.00102293
63600,0.953915,0.00994996,0.945303,0.000831628
64100,0.954197,0.010248,0.9453,0.000829128
64600,0.95531,0.0114264,0.945298,0.000826668
65100,0.957235,0.0134649,0.945334,0.000864903
65600,0.95872,0.0150366,0.945617,0.00116482
66100,0.960045,0.0164404,0.945575,0.00111983
66600,0.959054,0.0153908,0.945195,0.000717837
67100,0.958346,0.0146409,0.945175,0.000696574
67600,0.958713,0.0150297,0.945525,0.00106717
68100,0.958811,0.015133,0.945264,0.000791019
68600,0.959038,0.0153737,0.945481,0.00102048
69100,0.959913,0.0163004,0.945514,0.0010551
69600,0.960647,0.0170768,0.945726,0.00127937
70100,0.960214,0.0166189,0.946024,0.00159484
70600,0.95915,0.0154925,0.945963,0.00153093
71100,0.958481,0.0147841,0.945886,0.0014493
71600,0.958953,0.0152833,0.945828,0.0013873
72100,0.958294,0.0145861,0.945804,0.00136287
72600,0.957149,0.0133736,0.946023,0.00159398
73100,0.955896,0.0120473,0.945759,0.00131501
73600,0.956005,0.0121631,0.945652,0.00120166
74100,0.955749,0.0118916,0.945968,0.00153634
74600,0.954893,0.0109851,0.945828,0.00138755
75100,0.954887,0.0109788,0.945989,0.00155793
75600,0.955714,0.0118548,0.946098,0.00167355
76100,0.956649,0.0128446,0.946091,0.00166591
76600,0.955692,0.0118311,0.945806,0.00136467
77100,0.955798,0.0119431,0.945671,0.00122181
77600,0.955206,0.0113169,0.945683,0.00123429
78100,0.954507,0.0105767,0.945567,0.00111104
78600,0.953015,0.00899728,0.94534,0.000871498
79100,0.952794,0.00876294,0.945228,0.000752103
79600,0.951897,0.0078133,0.945022,0.000534452
80100,0.953034,0.0090168,0.945287,0.000815184
80600,0.952593,0.00855026,0.945487,0.00102675
81100,0.953268,0.0092644,0.945361,0.000893028
81600,0.952941,0.00891883,0.945404,0.000939343
82100,0.952071,0.00799716,0.945402,0.000936736
82600,0.952736,0.00870169,0.945445,0.000982226
83100,0.951769,0.00767775,0.945367,0.000899763
83600,0.951998,0.00791984,0.945514,0.00105574
84100,0.952759,0.00872555,0.945184,0.000706306
84600,0.95234,0.00828279,0.944991,0.00050179
85100,0.951716,0.00762129,0.944727,0.000221919
85600,0.951414,0.00730147,0.944655,0.000146305
86100,0.952056,0.00798139,0.944744,0.000240649
86600,0.951028,0.00689297,0.944688,0.000181083
87100,0.951148,0.00702043,0.944647,0.000137395
87600,0.951267,0.00714644,0.944463,5.68709e-05
88100,0.951691,0.00759549,0.944594,8.15498e-05
88600,0.951603,0.00750174,0.94454,2.42259e-05
89100,0.951212,0.00708821,0.944683,0.000175491
89600,0.950424,0.00625391,0.944852,0.000354609
90100,0.950644,0.00648643,0.944895,0.000399543
90600,0.95106,0.00692673,0.945102,0.00061927
91100,0.950878,0.00673463,0.945019,0.000531514
91600,0.950993,0.00685669,0.945197,0.000719225
92100,0.951303,0.00718435,0.945426,0.000962377
92600,0.950637,0.00647946,0.945572,0.00111715
93100,0.951042,0.00690798,0.945422,0.00095753
93600,0.949712,0.00549948,0.945286,0.000813754
94100,0.94983,0.00562487,0.945337,0.000868403
94600,0.950613,0.00645401,0.94527,0.000796566
95100,0.950442,0.00627247,0.945386,0.000920311
95600,0.949801,0.00559447,0.945228,0.00075205
96100,0.949917,0.00571675,0.945434,0.000971139
96600,0.949938,0.00573913,0.945135,0.000653656
97100,0.950144,0.00595754,0.945121,0.000639293
97600,0.949887,0.00568556,0.945044,0.000557279
98100,0.950734,0.00658194,0.94512,0.000637987
98600,0.951207,0.00708268,0.944992,0.000503122
99100,0.951403,0.0072899,0.945156,0.000676771
99600,0.950783,0.00663402,0.945306,0.000835389
